NOME_PLANILHA_CIVICO_MILITAR;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SG_UF;SCORE_SIMILARIDADE;STATUS_CRUZAMENTO
Colégio Estadual Cívico Militar Érico Veríssimo - Ensino fundamental e médio;41102274;ERICO VERISSIMO C E CMEF M;Laranjeiras do Sul;Estadual;PR;0.727;Cruzado com Sucesso
11 De Outubro, C E-Ef M;41028996;11 DE OUTUBRO C E CMEF M PROFIS;Cambé;Estadual;PR;1.175;Cruzado com Sucesso
Basilio De Lucca, C E-Ef M;41029151;BASILIO DE LUCCA C E CMEF M;Ibiporã;Estadual;PR;1.233;Cruzado com Sucesso
Ulysses Guimaraes, E E-Ef;41144252;ULYSSES GUIMARAES C E CMEF M;Ibiporã;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Professora Adelia Dionisia Barbosa;41029500;ADELIA D BARBOSA C E CM PROFAEF M P;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Josemaria Escriva, E E Mons-Ef;41030451;JOSEMARIA ESCRIVA C E CM MONSEF M;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Fernando De B Pinto, CECM Dr-EfEm;41030966;FERNANDO DE B PINTO C E CM DREF M;Londrina;Estadual;PR;0.815;Cruzado com Sucesso
Tsuru Oguido, C E C-M - Ef M;41033280;TSURU OGUIDO C E CMEF M;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Vani Ruiz Viessi;41033370;VANI RUIZ VIESSI C E CM PROFAEF M;Londrina;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico Militar Vista Bela;41159586;VISTA BELA C E CMEF M PROFIS;Londrina;Estadual;PR;1.175;Cruzado com Sucesso
Francisco Villanueva,C E Prof-E F M P;41020286;FRANCISCO J PERIOTO E E CM PROFEF;Mandaguaçu;Estadual;PR;0.762;Cruzado com Sucesso
Colégio Estadual Presidente Kennedy;41077776;KENNEDY C E C CM PRESEF M;Serranópolis do Iguaçu;Estadual;PR;1.175;Cruzado com Sucesso
Jose Alexandre Chiarelli, Ce Prof-Ef M;41152913;JOSE ALEX CHIARELLI C E CM PROFEF M P;Rolândia;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Monteiro Lobato;41022416;MONTEIRO LOBATO C E CMEF M;Sertanópolis;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Anastácio Cerezine;41021100;ANASTACIO CEREZINE E E CMEF;Alvorada do Sul;Estadual;PR;1.233;Cruzado com Sucesso
Lauro G Da V Pessoa, E E Prof-Ef;41031709;LAURO G DA V PESSOA E E CM PROFEF;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Newton Guimarães;41032225;NEWTON GUIMARAES C E CM PROFEF M;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Barão do Rio Branco;41032853;RIO BRANCO C E CM BAR DOEF M;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
João Rodrigues Da Silva, C E Prof-Ef M;41358872;JOAO R DA SILVA E E CM PROFEF;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Andrea Nuzzi, C E Maestro-Ef M;41028406;ANDREA NUZZI C E CM MAESTROEF M P;Cambé;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Attílio Codato - Ensino Fundamental e Médio;41028457;ATTILIO CODATO C E CMEF M;Cambé;Estadual;PR;0.727;Cruzado com Sucesso
Colégio Civíco-Militar Estadual Professora Helena Kolody;41028732;HELENA KOLODY C E CM PROFEF M;Cambé;Estadual;PR;0.815;Cruzado com Sucesso
Manuel Bandeira, C E-Ef Em;41028902;MANUEL BANDEIRA C E CMEF M PROFIS;Cambé;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Carlos de Almeida;41030125;CARLOS DE ALMEIDA C E CMEF M PROFIS;Londrina;Estadual;PR;1.175;Cruzado com Sucesso
Escola Estadual Professora Célia Moraes Oliveira;41030265;CELIA M DE OLIVEIRA C E CM PROFEF M P;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Professor Doutor Heber Soares Vargas;41030800;HEBER S VARGAS C E CM PROF DREF M P;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Hugo Simas, C E-Ef M;41031237;HUGO SIMAS C E CMEF M PROFIS;Londrina;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Humberto P Coutinho;41031253;HUMBERTO P COUTINHO C E CMEF M PROFIS;Londrina;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Margarida de Barros Lisboa;41031873;MARGARIDA B LISBOA C E CM PROFAEF M;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Nilo Pecanha, C E-Ef M;41032241;NILO PECANHA C E CMEF M PROFIS;Londrina;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Do Patrimônio Regina;41597915;PATRIMONIO REGINA C E CM DOEF M;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colegio Estadual Profº. Thiago Terra;41355156;THIAGO TERRA C E CMEF M PROF;Londrina;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Pe Wistremundo R. P. Garcia;41030486;WISTREMUNDO R P GARCIA C E CM PEEFM P;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Dr. Lauro Portugal Tavares;41033620;LAURO P TAVARES C E CM DREF M;Rolândia;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Serafim França;41019229;SERAFIM FRANCA C E CMEF M PROFIS;Astorga;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cecília Meireles;41020910;CECILIA MEIRELES E E CMEF;Santa Fé;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual São Vicente Pallotti;41023161;SAO VICENTE PALLOTTI C E CMEF M P;Mandaguari;Estadual;PR;1.262;Cruzado com Sucesso
Colégio estadual Pedro Viriato Parigot de Souza;41023382;PEDRO V PARIGOT SOUZA C E CMEF M P;Marialva;Estadual;PR;1.048;Cruzado com Sucesso
Colégio Estadual Alberto J. Byington Jr.;41023552;ALBERTO J BYINGTON JR C ECMEF M PROFI;Maringá;Estadual;PR;1.01;Cruzado com Sucesso
Colégio Estadual Duque de Caxias cívico-militar;41026500;CAXIAS E M R DUQUE DEEF;Arapongas;Municipal;PR;0.883;Cruzado com Sucesso
Colégio Estadual Ipiranga;41024079;IPIRANGA C E CMEF M;Maringá;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Tomaz Edison de Andrade Vieira;41024796;TOMAZ E DE A VIEIRA C E CMEF M PROFIS;Maringá;Estadual;PR;0.792;Cruzado com Sucesso
Colégio Estadual Vinícius de Moraes;41024869;VINICIUS DE MORAES C E CMEF M;Maringá;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Vercindes Gerotto dos Reis;41025040;VERCINDES G DOS REIS C E CMEF M PROFI;Paiçandu;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cora Coralina;41145500;CORA CORALINA C E CMEF M PROFIS;Sarandi;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual do Jardim Independência;41025105;JARDIM INDEPENDENCIA C E DOEF M PROFIS;Sarandi;Estadual;PR;0.975;Cruzado com Sucesso
Escola Estadual Cecília Meireles;41020910;CECILIA MEIRELES E E CMEF;Santa Fé;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Pres. Arthur da Costa e Silva;41022750;ARTHUR C E SILVA E E CM PRESEF;Floresta;Estadual;PR;0.958;Cruzado com Sucesso
Escola Estadual Cívico-Militar F. J. Perioto – Ensino Fundamental;41133129;SANTA CRUZ ESC EST ENSINO FUNDAMENTAL;Curitiba;Estadual;PR;0.683;Cruzado com Sucesso
Manoel F Almeida, E E Dr-Ef;41021010;MANOEL F ALMEIDA E E CM DREF;Santo Inácio;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Presidente Afonso Camargo;41001060;AFONSO CAMARGO C E CM PRESEF M;Loanda;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Vale do Tigre;41001672;VALE DO TIGRE C E CMEF M;Nova Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Alberico M da Silva;41003330;ALBERICO M DA SILVA C E CMEF M;Santa Isabel do Ivaí;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Santos Dumont;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;Estadual;PR;1.233;Cruzado com Sucesso
Moyses Lupion, C E-Ef M;41138880;MOYSES LUPION C E CMEF M N PROFIS;Antonina;Estadual;PR;1.175;Cruzado com Sucesso
29 De Abril, C E-Ef M;41010710;11 DE ABRIL C EEF M;Tapejara;Estadual;PR;0.562;Cruzado com Sucesso
Escola Estadual Professora Abigail Dos Santos Correa;41139895;ABIGAIL DOS S CORREA E E CM PROFAEF;Matinhos;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico Militar Dídio Augusto de Camargo Viana;41140605;DIDIO A DE C VIANA E E CMEF;Paranaguá;Estadual;PR;0.815;Cruzado com Sucesso
Escola Estadual Cívico Militar Faria Sobrinho;41140664;FARIA SOBRINHO E E CMEF;Paranaguá;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Helena Viana Sundin, Ensino Fundamental e Ensino Médio;41140729;HELENA VIANA SUNDIN C E CMEF M;Paranaguá;Estadual;PR;0.825;Cruzado com Sucesso
Colegio Estadual Hélio Antônio De Souza;41361563;HELIO ANTONIO DE SOUZA C E CMEF M;Pontal do Paraná;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Sertãozinho;41140052;SERTAOZINHO C E CMEF M N PROFIS;Matinhos;Estadual;PR;1.117;Cruzado com Sucesso
Colégio Estadual Cívico Militar Flauzina Dias Viegas;41002148;FLAUZINA DIAS VIEGAS C E CMEF M;Paranavaí;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Leonel Franca;41002296;LEONEL FRANCA C E CMEF M PROFIS;Paranavaí;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Sílvio Vidal;41002636;SILVIO VIDAL C E CMEF M PROFIS;Paranavaí;Estadual;PR;1.175;Cruzado com Sucesso
Escola Estadual Agostinho Stefanello;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Santo Inácio de Loyola;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico-Militar l Nova Visão;41091396;NOVA VISAO C E CMEF M PROFIS;Chopinzinho;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Pres. Castelo Branco;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;Estadual;PR;1.233;Cruzado com Sucesso
Tancredo Neves, C E-Ef M;41076869;TANCREDO DE A NEVES C E CMEF M N P;Foz do Iguaçu;Estadual;PR;1.233;Cruzado com Sucesso
Sebastiao Parana, C E-Ef M;41109422;SEBASTIAO PARANA C E CMEF M PROFIS;Palmas;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico Militar Monsenhor Eduardo;41082249;CARLOS EDUARDO C E CM DEF M;Realeza;Estadual;PR;0.762;Cruzado com Sucesso
Carmela Bortot, E E-Ef;41093305;CARMELA BORTOT C E CMEF M;Pato Branco;Estadual;PR;1.233;Cruzado com Sucesso
Castro Alves, C E-Ef M;41093313;CASTRO ALVES C E CMEF M;Pato Branco;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Rui Barbosa;41093607;RUI BARBOSA C E CMEF M;Pato Branco;Estadual;PR;1.233;Cruzado com Sucesso
Escola Estadual Irmão Isidoro Dumont - EF;41092694;ISIDORO DUMONT E E CM IREF;Itapejara d'Oeste;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual São João Bosco - EFM;41093666;SAO JOAO BOSCO C E CMEF M P;Pato Branco;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual João C. da Costa;41095537;JOAO C DA COSTA C E CMEF M;Palmital;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Dom Pedro I;41056540;SAO PEDRO C E CMEF M;Telêmaco Borba;Estadual;PR;1.117;Cruzado com Sucesso
Colégio Estadual Cívico Militar Eurico Batista Rosas;41352718;EURICO BATISTA ROSAS C E CMEF M;Carambeí;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Joana Torres Pereira;41060253;JOANA T PEREIRA C E CM PROFA EF M;Castro;Estadual;PR;1.017;Cruzado com Sucesso
Colégio Estadual Prof. Nicolau Hampf;41373960;NICOLAU HAMPF C E CM PROFEF M;Castro;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Alcides Munhoz;41109570;ALCIDES MUNHOZ C E CMEF M;Imbituva;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar São Judas Tadeu;41061748;SAO JUDAS TADEU C E CMEF M PROF;Palmeira;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Prof• Leandro Manoel da Costa;41058844;LEANDRO M DA COSTA C E CM PROFEF M P;Piraí do Sul;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico-Militar General Antônio Sampaio;41062000;ANTONIO SAMPAIO C E CM GALEF M;Ponta Grossa;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Professor Colares;41062302;COLARES C E CM PROFEF M;Ponta Grossa;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico-Militar José Elias da Rocha;41062833;JOSE ELIAS DA ROCHA C E CMEF M PROFIS;Ponta Grossa;Estadual;PR;1.21;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Frei Doroteu de Padua;41063236;DOROTEU DE PADUA C E CM FREF M PROFIS;Ponta Grossa;Estadual;PR;0.923;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Coronel Amazonas;41122453;AMAZONAS C E CM CELEF M P;Porto Amazonas;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Cívico Militar General Osório;41063155;OSORIO C E CM GALEF M PROFIS;Ponta Grossa;Estadual;PR;1.117;Cruzado com Sucesso
Colégio cívico militar do Paraná Becker e Silva;41062108;BECKER E SILVA C E CM PROFEF M PROFIS;Ponta Grossa;Estadual;PR;0.792;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Padre Carlos Zelesny;41062191;CARLOS ZELESNY C E CM PEEF M;Ponta Grossa;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Prof. Edison Pietrobelli;41354273;EDISON PIETROBELLI E E CM PROFEF;Ponta Grossa;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Cívico-Militar Dr. Epaminondas Novaes Ribas;41062469;EPAMINONDAS N RIBAS C E CM DREF M P;Ponta Grossa;Estadual;PR;0.815;Cruzado com Sucesso
Nossa Sra Da Gloria, C E-Ef M;41063139;NOSSA SRA DA GLORIA C E CMEF M;Ponta Grossa;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Cívico Militar José de Alencar;41049098;JOSE DE ALENCAR C E CMEF M;Curiúva;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Gregório Szeremeta;41145690;GREGORIO SZEREMETA C E CMEF M;Reserva;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Prof. Custódio Netto;41056140;CUSTODIO NETTO C E CM PROFEF M PROFIS;Telêmaco Borba;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Dr. Marcelino Nogueira;41056361;MARCELINO NOGUEIRA C E CM DREF M;Telêmaco Borba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Profª. Maria Aparecida Militão de S. Pereira;41056388;MARIA AP M S PEREIRA C E CM PROFAEF M;Telêmaco Borba;Estadual;PR;0.792;Cruzado com Sucesso
Colégio Estadual Cívico-Militar São Pedro;41056540;SAO PEDRO C E CMEF M;Telêmaco Borba;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico Militar Presidente Vargas;41021592;VARGAS C E CM PRESEF M;Bela Vista do Paraíso;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Jardim Alegre;41056264;JARDIM ALEGRE C E CMEF M PROFIS;Telêmaco Borba;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Jardim Zeballos;41360826;JARDIM ZEBALLOS C E CMEF M PROFIS;Guaíra;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Frentino Sackser;41065425;FRENTINO SACKSER C E CMEF M PROF;Marechal Cândido Rondon;Estadual;PR;1.233;Cruzado com Sucesso
Colegio Estadual Marechal Rondon;41065662;RONDON C E CM MALEF M;Marechal Cândido Rondon;Estadual;PR;1.175;Cruzado com Sucesso
Colégio Estadual Barão do Rio Branco;41032853;RIO BRANCO C E CM BAR DOEF M;Londrina;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Antonio José Reis;41068203;ANTONIO J REIS C E CMEF M;Toledo;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Cívico Militar Jardim Maracanã;41068653;JARDIM MARACANA C E CMEF M;Toledo;Estadual;PR;1.233;Cruzado com Sucesso
Novo Horizonte, C E-Ef M;41068980;NOVO HORIZONTE C E CMEF M PROFIS;Toledo;Estadual;PR;1.175;Cruzado com Sucesso
Escola Estadual Graciliano Ramos;41067029;GRACILIANO RAMOS E E CMEF;Santa Helena;Estadual;PR;1.233;Cruzado com Sucesso
Joao Arnaldo Ritt, C E-Ef M;41068688;JOAO ARNALDO RITT C E CMEF M;Toledo;Estadual;PR;1.262;Cruzado com Sucesso
Luiz Augusto M Rego, C E-Ef M Profis;41068807;LUIZ AUGUSTO M REGO C E CMEF M PROFIS;Toledo;Estadual;PR;1.21;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Cruzeiro do Oeste;41005090;CRUZEIRO DO OESTE C E CMEF M PROFIS;Cruzeiro do Oeste;Estadual;PR;1.175;Cruzado com Sucesso
Douradina, C E-Ef M;41005384;DOURADINA C E CMEF M PROFIS;Douradina;Estadual;PR;1.117;Cruzado com Sucesso
Colégio Cívico militar Padre Manuel Da Nóbrega;41008316;MANUEL DA NOBREGA C E CM PEEF M P;Umuarama;Estadual;PR;0.958;Cruzado com Sucesso
Colégio Estadual Monteiro Lobato - EF M;41022416;MONTEIRO LOBATO C E CMEF M;Sertanópolis;Estadual;PR;1.233;Cruzado com Sucesso
Zilda Arns, C E Dra- Ef M;41008472;ZILDA ARNS C E CM DRA EF M;Umuarama;Estadual;PR;1.35;Cruzado com Sucesso
Colégio Estadual Anchieta;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;Estadual;PR;1.175;Cruzado com Sucesso
Castelo Branco, C E Pres-Ef M;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Novo Milênio;41358791;NOVO MILENIO C E CMEF M;Bituruna;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Bernardina Schleder;41117905;BERNARDINA SCHLEDER C E CMEF M;União da Vitória;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual João Paulo II;41057694;JOAO PAULO II C E CMEF M;Arapoti;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Anita Canet;41058348;ANITA CANET C E CMEF M;Jaguariaíva;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Olavo Bilac;41014375;OLAVO BILAC C E CMEF M;Ubiratã;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Newton Sampaio EFM;41052250;NEWTON SAMPAIO C E CMEF M;São José da Boa Vista;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Miguel Nassif Maluf;41053494;MIGUEL NASSIF MALUF C E CMEF M;Wenceslau Braz;Estadual;PR;1.262;Cruzado com Sucesso
Escola Estadual Erico Verissimo - Ensino Fundamental;41102274;ERICO VERISSIMO C E CMEF M;Laranjeiras do Sul;Estadual;PR;0.815;Cruzado com Sucesso
Vila John Kennedy, C E Da-Ef M;41106172;VILA JOHN KENNEDY C E CM DAEF M;Quedas do Iguaçu;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadual Osório Duque Estrada;41073037;OSORIO DUQUE ESTRADA C E CMEF M;Diamante do Sul;Estadual;PR;1.262;Cruzado com Sucesso
Colégio Estadua Alto Recreio;41105176;ALTO RECREIO C E CMEF M;Quedas do Iguaçu;Estadual;PR;0.815;Cruzado com Sucesso
Colégio Estadual Cívico Militar Júlio Farah;41049764;JULIO FARAH C E CMEF M;Ibaiti;Estadual;PR;1.233;Cruzado com Sucesso
Colégio Estadual Cívico-Militar Professor Segismundo Antunes Netto 1º e 2º Grau;41052684;SEGISMUNDO A NETTO C E CM PROFEF M N;Siqueira Campos;Estadual;PR;0.667;Cruzado com Sucesso
